base_map, altered_map,frechet distance,hausdorff distance,symmetric difference
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_4.geojson,0.747133,0.381392,0.818128
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_5Fcarto.geojson,0.679705,0.369395,0.784296
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_flow_based.geojson,0.679468,0.368848,0.783866
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_5.geojson,0.563425,0.342717,0.750791
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_5Fcarto.geojson,0.509393,0.330175,0.693259
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_flow_based.geojson,0.509413,0.330127,0.693127
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_3.geojson,0.485412,0.314075,0.631226
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_5Fcarto.geojson,0.581122,0.368827,0.726115
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_flow_based.geojson,0.577903,0.370496,0.726433
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_9.geojson,1.25575,0.385988,0.592976
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_5Fcarto.geojson,1.07265,0.528266,0.860844
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_flow_based.geojson,1.50479,0.67391,1.0047
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_9.geojson,1.06532,0.309613,0.690867
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_5Fcarto.geojson,0.623618,0.33022,0.637101
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_flow_based.geojson,0.618578,0.328158,0.639882
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_2.geojson,1.01929,0.264671,0.710648
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_5Fcarto.geojson,0.436855,0.288079,0.610064
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_flow_based.geojson,0.439674,0.284183,0.609849
world_population_by_country_2010_input.geojson,world_population_by_country_2010_9.geojson,1.20708,0.384596,0.622137
world_population_by_country_2010_input.geojson,world_population_by_country_2010_5Fcarto.geojson,0.894478,0.480546,0.814323
world_population_by_country_2010_input.geojson,world_population_by_country_2010_flow_based.geojson,0.929381,0.442409,0.801327
