round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
93, 7.284141, 0.998044, 5.329879, 0.240617, 0.125237, 0.021858, 2.648534, 0.000000, 0.9462 Second
94, 7.282582, 0.997976, 5.244763, 0.239807, 0.124119, 0.021479, 2.064034, 0.000000, 0.9651 Second
95, 7.274145, 0.997885, 5.101736, 0.239139, 0.123815, 0.021790, 2.098129, 0.000000, 0.9486 Second
96, 7.273601, 0.997788, 5.013475, 0.239209, 0.124291, 0.021434, 3.799866, 0.000000, 0.9820 Second
97, 7.268686, 0.997732, 4.952107, 0.237974, 0.122903, 0.021517, 2.775900, 0.000000, 0.9799 Second
98, 7.265992, 0.997651, 4.882390, 0.237657, 0.123117, 0.021728, 4.067379, 0.000000, 0.9954 Second
99, 7.259481, 0.997594, 4.834740, 0.237263, 0.123087, 0.021974, 3.534701, 0.000000, 0.9857 Second
100, 7.256032, 0.997525, 4.779285, 0.237124, 0.123049, 0.022230
Enlarge: 6.000000, Shrink: 9.000000, treeDepth: 6, minTreeDepth: 6
 
