NUTS_NAME,Target Area
Liechtenstein,38378.000000
Sostinės regionas,810538.000000
Weser-Ems,2525333.000000
Oberbayern,4686163.000000
Niederbayern,1238528.000000
Etelä-Suomi,1152719.000000
Champagne-Ardenne,1317548.000000
Oberpfalz,1109269.000000
Leipzig,1043293.000000
Aragón,3458041.000000
Comunidad de Madrid,6641649.000000
Aquitaine,3137694.000000
Limousin,728859.000000
Poitou-Charentes,1812353.000000
Prov. Vlaams-Brabant,1146643.000000
Midtjylland,1320678.000000
Severovýchod,1513693.000000
Jihovýchod,1696941.000000
Canarias,2206901.000000
Lorraine,2322213.000000
Prov. Hainaut,1346082.000000
Castilla-La Mancha,2034877.000000
Karlsruhe,2805129.000000
Freiburg,2264469.000000
Małopolskie,3360545.000000
Śląskie,4488998.000000
Centru,2318272.000000
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",2719113.000000
"Erzurum, Erzincan, Bayburt",1086156.000000
"Ağrı, Kars, Iğdır, Ardahan",1124898.000000
Eastern Scotland,1998699.000000
Mazowiecki regionalny,2327207.000000
Sydsverige,1521848.000000
West Central Scotland,1541998.000000
Southern Scotland,947186.000000
Northern Ireland,1484655.363229
Pomorskie,2305077.000000
Łódzkie,2453167.000000
Świętokrzyskie,1226243.000000
Lubelskie,2097294.000000
Sud-Est,2396171.000000
Lancashire,1495318.000000
Zahodna Slovenija,986473.000000
Sud-Vest Oltenia,1926860.000000
Småland med öarna,864630.000000
Tees Valley and Durham,1201543.000000
Northumberland and Tyne and Wear,1455437.000000
Cumbria,498083.000000
Greater Manchester,2822003.000000
Cheshire,931347.000000
Merseyside,1553324.000000
Cornwall and Isles of Scilly,568612.000000
Vest,1777474.000000
İstanbul,15067724.000000
"Tekirdağ, Edirne, Kırklareli",1802315.000000
Outer London — East and North East,1940638.000000
Västsverige,2039166.000000
Devon,1195198.000000
West Wales and The Valleys,1968383.000000
Регион Војводине,1834430.000000
Регион Шумадије и Западне Србије,1880467.000000
İzmir,4320519.000000
"Malatya, Elazığ, Bingöl, Tunceli",1762077.000000
"Mardin, Batman, Şırnak, Siirt",2284158.000000
"Van, Muş, Bitlis, Hakkari",2167642.000000
"Gaziantep, Adıyaman, Kilis",2795617.000000
"Şanlıurfa, Diyarbakır",3768205.000000
Outer London — South,1316772.000000
Outer London — West and North West,2103443.000000
"Berkshire, Buckinghamshire and Oxfordshire",2417428.000000
"Surrey, East and West Sussex",2909838.000000
Hampshire and Isle of Wight,1993050.000000
Kent,1854717.000000
"Gloucestershire, Wiltshire and Bristol/Bath area",2516568.000000
Zachodniopomorskie,1675502.000000
Lubuskie,1003310.000000
Nord-Vest,4066719.000000
Sud-Muntenia,2929832.000000
Bucureşti-Ilfov,2315173.000000
East Wales,1168000.000000
North Eastern Scotland,495365.000000
Západné Slovensko,1826145.000000
Stredné Slovensko,1339242.000000
Východné Slovensko,1625436.000000
Wielkopolskie,3473172.000000
Регион Јужне и Источне Србије,1463882.000000
Stockholm,2344124.000000
Highlands and Islands,470990.000000
"Herefordshire, Worcestershire and Warwickshire",1352539.000000
Shropshire and Staffordshire,1626956.000000
West Midlands,2928377.000000
Área Metropolitana de Lisboa,1320586.000000
East Anglia,2521676.000000
Bedfordshire and Hertfordshire,1871847.000000
Essex,1841887.000000
Inner London — West,1190513.000000
Inner London — East,2430890.000000
Bratislavský kraj,659598.000000
Podkarpackie,2086135.000000
Centro (PT),2216569.000000
Podlaskie,1152074.000000
Warszawski stołeczny,3053104.000000
Norte,3572583.000000
Algarve,438864.000000
Dorset and Somerset,1336003.000000
Kujawsko-pomorskie,2055433.000000
Mellersta Norrland,375733.000000
Alentejo,705478.000000
Região Autónoma dos Açores,242201.000000
Região Autónoma da Madeira,253923.000000
Београдски регион,1692768.000000
Warmińsko-mazurskie,1404441.000000
Nord-Est,3198564.000000
Jan Mayen and Svalbard,62006.293200
Vestlandet,1387010.000000
Agder og Sør-Østlandet,730725.000000
Grad Zagreb,808785.000000
Sjeverna Hrvatska,812067.000000
Innlandet,386951.000000
Trøndelag,462032.000000
Nord-Norge,589755.000000
Oslo og Viken,1949394.000000
Vidurio ir vakarų Lietuvos regionas,1983646.000000
