AFFGEOID,Target Area
0500000US30089,32926.061900
0500000US54057,32926.061900
0500000US47127,14045.544971
0500000US47167,60970.000000
0500000US51199,70045.000000
0500000US48213,82150.000000
0500000US09001,957419.000000
0500000US48329,169983.000000
0500000US47035,61145.000000
0500000US47079,32926.061900
0500000US47121,23808.029728
0500000US47149,341486.000000
0500000US12093,39644.000000
0500000US47117,34318.000000
0500000US47163,158163.000000
0500000US47031,57889.000000
0500000US13209,26671.618717
0500000US48043,32926.061900
0500000US48039,372031.000000
0500000US25023,530819.000000
0500000US45003,168808.000000
0500000US20071,32926.061900
0500000US48465,47586.000000
0500000US36075,117525.000000
0500000US38095,32926.061900
0500000US17031,5275541.000000
0500000US06037,10014009.000000
0500000US39095,431279.000000
0500000US54059,32926.061900
0500000US39127,35408.000000
0500000US46041,32926.061900
0500000US04005,145101.000000
0500000US48125,32926.061900
0500000US05001,32926.061900
0500000US19177,32926.061900
0500000US27023,32926.061900
0500000US01087,32926.061900
0500000US05069,67260.000000
0500000US05091,42600.000000
0500000US06065,2418185.000000
0500000US06101,99633.000000
0500000US06113,216403.000000
0500000US08065,32926.061900
0500000US42005,65558.000000
0500000US13133,32926.061900
0500000US48289,32926.061900
0500000US20163,32926.061900
0500000US53005,206873.000000
0500000US45009,32926.061900
0500000US53011,503311.000000
0500000US51097,32926.061900
0500000US38017,184525.000000
0500000US48037,92893.000000
0500000US42041,259469.000000
0500000US30057,32926.061900
0500000US25027,862111.000000
0500000US13219,41799.000000
0500000US48023,32926.061900
0500000US51037,32926.061900
0500000US38005,32926.061900
0500000US30071,32926.061900
0500000US27089,32926.061900
0500000US27163,267568.000000
0500000US48229,32926.061900
0500000US41061,32926.061900
0500000US16027,231105.000000
0500000US12071,760822.000000
0500000US29099,226739.000000
0500000US13267,32926.061900
0500000US49019,32926.061900
0500000US26137,32926.061900
0500000US37069,68573.000000
0500000US36067,476516.000000
0500000US28143,32926.061900
0500000US16029,32926.061900
0500000US48139,192455.000000
0500000US16083,90046.000000
0500000US54031,32926.061900
0500000US12001,278468.000000
0500000US23025,50477.000000
0500000US41003,95184.000000
0500000US22117,45463.000000
0500000US51133,23557.643888
0500000US16043,32926.061900
0500000US42095,312951.000000
0500000US48025,32926.061900
0500000US29207,32926.061900
0500000US20133,32926.061900
0500000US40075,32926.061900
0500000US24011,33293.000000
