mapname,F4Carto_n_iter,5FCarto_n_defeated,flow_based_n_defeated,F4Carto_min_relative_area_error_reached,5FCarto_max_relative_area_error_at_n,flow_based_max_relative_area_error_at_n,F4Carto_time,5FCarto_time_at_n,flow_based_time_at_n,5FCarto_final_error,flow_based_final_error,5FCarto_total_time,flow_based_total_time
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,10,1,1,27.2867,21.30162528225317,22.31981289925939,3.7027,0.317,0.249,0.00560340036920181,0.00658988981004471,3.8160000000000003,2.327
egypt_population_by_governate_2017,10,8,9,0.697803,0.5185786020692063,0.3870426297398721,2.1414999999999997,0.34900000000000003,0.21900000000000008,0.00691791948213293,0.00523387884600246,0.6110000000000002,0.3420000000000002
england_population_by_region_2022,3,0,0,0.547634,0.3221815855668744,0.3219697979326481,0.3812,0.067,0.059,0.00884841871989428,0.00881694692192591,0.154,0.143
france_population_by_metropolitan_region_2008,3,0,0,0.478437,0.2783326088312346,0.2780384928759159,0.30410000000000004,0.07,0.057,0.00904426957277393,0.00920793111361839,0.133,0.089
germany_population_by_state_2011,7,2,2,0.431163,0.3192199167580474,0.3292851585242053,0.5748,0.082,0.073,0.00719818548609674,0.00791005142661793,0.116,0.09599999999999999
indonesia_population_by_province_2024,7,5,5,0.97834,0.6379781548556895,0.6181396012266904,0.5109,0.08199999999999999,0.065,0.00539708078038736,0.00910225067457881,0.27399999999999997,0.11500000000000005
japan_population_by_prefecture_2020,4,4,4,0.305837,0.1865870274026558,0.1425991802489435,0.34730000000000005,0.17300000000000001,0.107,0.0089974852191077,0.00702405022309415,0.33000000000000007,0.21399999999999997
malaysia_population_by_state_2020,7,2,2,0.543689,0.4998091700642018,0.4826304030843928,0.1942,0.08499999999999999,0.045000000000000005,0.00875582536734098,0.00460873778264991,0.17599999999999996,0.08
metropolitan_france_population_by_departement_2022,4,5,5,0.26005,0.1630460776460967,0.1755518826834197,1.1002,0.28200000000000003,0.266,0.00890430769121453,0.00823542961863954,0.46099999999999997,0.42900000000000005
NUTS_population_by_country_2021,10,4,4,0.417461,0.2920109565951281,0.2915146810696365,1.1555000000000002,0.41600000000000004,0.10500000000000001,0.00970545888501694,0.00716767227264647,1.1,0.292
NUTS_population_by_region_2020,10,6,5,16.5015,10.37525501178617,15.52909669548308,2.0586,0.349,0.155,0.00409323699113073,0.00682154490704123,6.317000000000001,2.520000000000001
russia_population_by_federal_subject_2010,10,7,7,3.30001,2.244580250148594,2.203953420295372,2.5435,0.38499999999999995,0.29800000000000004,0.0059038349747218,0.0087510394798187,0.8630000000000002,0.5790000000000003
simplified_belgium_population_by_region_2022,3,1,2,0.222895,0.02946020155686191,0.09054113542675211,0.0588,0.049999999999999996,0.062,0.00711350147515621,0.00601617252002062,0.06,0.07999999999999999
singapore_population_by_planning_area_2015,10,5,6,29.7191,18.83849054609048,21.45715838441339,2.1097000000000006,0.185,0.175,0.00727421890367496,2.387552582354588,1.6400000000000006,151.01600000000008
switzerland_gdp_in_billion_chf_by_canton_2019,5,2,2,0.339314,0.3240424318189055,0.3269089888618741,0.6243,0.145,0.084,0.00761206127526914,0.00764951297651506,0.269,0.136
switzerland_population_by_canton_2016,6,2,2,0.403295,0.2682152853643502,0.2712772376249406,0.7555,0.122,0.073,0.00915850203932588,0.00945427632159789,0.215,0.10999999999999999
tunisia_population_by_governate_2014,4,2,2,0.383624,0.3424251675466621,0.3413195464122154,0.3274,0.097,0.052000000000000005,0.00586361953510894,0.00628806223447453,0.21199999999999997,0.09000000000000002
usa_population_by_state_2020,10,3,3,1.37119,0.7780273989108322,0.8006166130996413,1.3568,0.17300000000000001,0.11900000000000001,0.00874268425780699,0.00623138663477873,0.3660000000000001,0.22999999999999995
usa_population_by_county_2021,10,9,NA,6.91642,6.645740751281035,NA,10.8397,2.161,NA,0.00672290833244715,12.65014054890922,29.340000000000003,239.96900000000008
vietnam_population_by_province_2019,3,4,4,0.279383,0.2441784371158531,0.2368599225522792,0.3382,0.13099999999999998,0.082,0.00933166751021308,0.00897563344285501,0.304,0.19700000000000006
world_population_by_country_2010,10,2,2,32.7755,22.21918510999732,23.59506224131399,3.0237,0.448,0.366,0.00917590506325005,0.00877661381159977,3.8230000000000004,1.5439999999999998
