round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
84, 0.208910, 0.008973, 0.000497, 0.023182, 0.009251, 0.002436, 1.050000, 0.000000, 0.5813 Second
85, 0.208400, 0.008978, 0.000493, 0.023079, 0.009203, 0.002417, 1.050000, 0.000000, 0.5939 Second
86, 0.207875, 0.008945, 0.000490, 0.023008, 0.009164, 0.002399, 1.050000, 0.000000, 0.5896 Second
87, 0.207328, 0.008924, 0.000486, 0.022921, 0.009123, 0.002381, 1.050000, 0.000000, 0.5982 Second
88, 0.206774, 0.008900, 0.000483, 0.022838, 0.009082, 0.002364, 1.050000, 0.000000, 0.6127 Second
89, 0.206201, 0.008933, 0.000480, 0.022758, 0.009043, 0.002346, 1.050000, 0.000000, 0.6008 Second
90, 0.205605, 0.009128, 0.000476, 0.022678, 0.009004, 0.002330, 1.050000, 0.000000, 0.6085 Second
91, 0.205000, 0.009307, 0.000473, 0.022603, 0.008973, 0.002316, 1.050000, 0.000000, 0.6145 Second
92, 0.204399, 0.009452, 0.000470, 0.022532, 0.008941, 0.002303, 1.050000, 0.000000, 0.6168 Second
93, 0.203795, 0.009578, 0.000467, 0.022456, 0.008897, 0.002285, 1.050000, 0.000000, 0.6137 Second
94, 0.203197, 0.009679, 0.000464, 0.022380, 0.008858, 0.002269, 1.050000, 0.000000, 0.6298 Second
95, 0.202598, 0.009765, 0.000461, 0.022309, 0.008823, 0.002254, 1.050000, 0.000000, 0.6258 Second
96, 0.202005, 0.009840, 0.000458, 0.022226, 0.008796, 0.002243, 1.050000, 0.000000, 0.6398 Second
97, 0.201424, 0.009896, 0.000456, 0.022174, 0.008772, 0.002232, 1.050000, 0.000000, 0.6585 Second
98, 0.200854, 0.009935, 0.000454, 0.022125, 0.008749, 0.002221, 1.050000, 0.000000, 0.6506 Second
99, 0.200294, 0.009958, 0.000452, 0.022084, 0.008727, 0.002209, 1.050000, 0.000000, 0.6696 Second
100, 0.199794, 0.009970, 0.000451, 0.022048, 0.008705, 0.002198
Enlarge: 6.000000, Shrink: 9.000000, treeDepth: 6, minTreeDepth: 6
 
