command,mean,stddev,median,user,system,min,max,parameter_qlcf
bahamas_by_district_since_1999-7,3.2365934632800006,0.024106740390614008,3.23323085868,3.13596344,0.09095887999999999,3.19931262968,3.2809132136800003,7
bahamas_by_district_since_1999-8,3.1931828424800006,0.023731021853093972,3.2031911926800003,3.0964272399999997,0.08645568000000001,3.1453819216800003,3.2183652136800003,8
bahamas_by_district_since_1999-9,3.1693360091800007,0.024773706661785015,3.1664476091800005,3.07819414,0.08136837999999999,3.1412947136800002,3.2159435876800004,9
bahamas_by_district_since_1999-10,3.19157757598,0.02224822690661351,3.19975579668,3.08694844,0.09380248,3.15711008868,3.21978896368,10
bahamas_by_district_since_1999-11,3.1613930381800004,0.028911007890410467,3.15630488018,3.05867634,0.09065427999999998,3.12885337968,3.2344003796800003,11
bahamas_by_district_since_1999-12,3.1822669840800004,0.03232850429006113,3.17824121318,3.0827156400000004,0.08959038,3.12385554668,3.22476800468,12
bahamas_by_district_since_1999-13,3.2554802589800005,0.03433525554173501,3.2499633796800005,3.1512984399999997,0.09419817999999999,3.2181965046800003,3.3264584626800002,13
bahamas_by_district_since_1999-14,3.8331945090800006,0.02384554498568737,3.83466735918,3.7086068400000003,0.11167967999999999,3.77738342168,3.86753887968,14
bahamas_by_district_since_1999-15,5.163162288280001,0.07223465023216763,5.12811113018,5.0002425399999995,0.14917757999999998,5.10873104668,5.347264421679999,15
belgium_by_region_simplified_since_1995-5,0.46488438576,0.030718392285960263,0.44962652766,0.45461362000000005,0.006712819999999999,0.44736386116000004,0.53528015216,5
belgium_by_region_simplified_since_1995-6,0.08307254388727274,0.000732747660342404,0.08291777716000001,0.07831898363636362,0.003895935151515151,0.08205006916,0.08557248616,6
belgium_by_region_simplified_since_1995-7,0.10923783035230768,0.0011546505346156323,0.10919152766000001,0.10377823538461535,0.004477804615384615,0.10781023616,0.11225356916000001,7
belgium_by_region_simplified_since_1995-8,0.11052099211,0.007045361866329881,0.10909848616000001,0.10378222000000001,0.00477887,0.10774356916000001,0.14028111116,8
belgium_by_region_simplified_since_1995-9,0.10879694896769232,0.0005812175748547194,0.10867454866000001,0.10355065846153846,0.0043637661538461535,0.10785202716,0.11041690216000001,9
belgium_by_region_simplified_since_1995-10,0.10922852589076923,0.0009348226477289303,0.10917142316,0.10401888923076924,0.004345381538461538,0.10773981916000001,0.11093311016000001,10
belgium_by_region_simplified_since_1995-11,0.8998542984600002,0.010189211531352606,0.8978333816600002,0.8282001199999998,0.06561282,0.8916848611600001,0.9276356531600001,11
belgium_by_region_simplified_since_1995-12,0.9013661234600001,0.01257873203819057,0.8957427361600001,0.82894232,0.06515842000000001,0.89419919416,0.93517952816,12
belgium_by_region_simplified_since_1995-13,3.62478231916,0.287974369992267,3.4879362776600003,3.4124379199999995,0.12509222,3.47320852716,4.34892911016,13
belgium_by_region_simplified_since_1995-14,2.87753627346,0.04290812508830287,2.86728242366,2.75547382,0.11028212,2.84117323516,2.98978011116,14
belgium_by_region_simplified_since_1995-15,2.8604436815600005,0.0180859841918313,2.85578281916,2.7405728199999997,0.11261401999999998,2.84606352716,2.9055212351599997,15
belgium_by_region_since_1995-5,0.48602421328000006,0.014824478869436202,0.48166447168000004,0.47569398000000007,0.0071521,0.47767963868,0.5275952216800001,5
belgium_by_region_since_1995-6,0.09830514833517243,0.0007753291462842579,0.09849842968,0.09250250758620687,0.0047035724137931036,0.09712634668,0.09988705468,6
belgium_by_region_since_1995-7,0.11913486738833334,0.0015838326508216514,0.11843488868,0.11273876333333333,0.005200691666666667,0.11727780468,0.12322172168,7
belgium_by_region_since_1995-8,0.11833599601333333,0.0010135797099618347,0.11808411768,0.11234118,0.005083274999999999,0.11706826368,0.12115359667999999,8
belgium_by_region_since_1995-9,0.12014661234666664,0.006623477503273694,0.11870776368,0.11280842999999997,0.005559566666666667,0.11724251368000001,0.15083530568000003,9
belgium_by_region_since_1995-10,0.11835067467999999,0.0007468639170940334,0.11830295068,0.11224630499999998,0.005188900000000001,0.11707747168,0.12081601368,10
belgium_by_region_since_1995-11,0.10879067848769229,0.0016103340957927714,0.10819534718,0.1025519876923077,0.005237746153846154,0.10710630468,0.11335759668,11
belgium_by_region_since_1995-12,0.91202096758,0.013179536632911548,0.9066880341800001,0.8343089799999998,0.06831319999999999,0.89829259668,0.93810009668,12
belgium_by_region_since_1995-13,3.6155034716800003,0.014274549230264076,3.6159452426800005,3.47415628,0.13097739999999997,3.5943125136800003,3.63356709668,13
belgium_by_region_since_1995-14,3.61796482158,0.01361475834374817,3.61534505468,3.47798258,0.12993489999999996,3.6066041386800003,3.65142138768,14
belgium_by_region_since_1995-15,2.9609219632800006,0.01972182605158533,2.95552124218,2.8318322800000004,0.11704479999999999,2.9391704716800002,2.9879043046800002,15
brazil_by_state_since_1988-5,1.24478983152,0.01743356871753882,1.23981382302,1.21980492,0.019313419999999998,1.22636865602,1.28714640602,5
brazil_by_state_since_1988-6,1.1538017692199998,0.011473057814131302,1.15160430252,1.1317209199999998,0.018684919999999997,1.14024769802,1.1788257820199999,6
brazil_by_state_since_1988-7,1.00763926932,0.013454456933430857,1.0039119900199998,0.9868170199999999,0.017324819999999998,0.9929050320200001,1.0396652820199999,7
brazil_by_state_since_1988-8,0.89638709032,0.01642155650747747,0.8929324485200001,0.8741517200000001,0.018509319999999996,0.8786676150200001,0.93821690702,8
brazil_by_state_since_1988-9,0.8072142774200002,0.01154397414769411,0.8040991980200001,0.78670082,0.017130819999999998,0.7943732400200001,0.8336207820200001,9
brazil_by_state_since_1988-10,0.6917595818200001,0.00805334688436459,0.6916810525200001,0.67348002,0.016724319999999997,0.68218286502,0.70618449002,10
brazil_by_state_since_1988-11,0.67551147752,0.011181965537259158,0.6716325940200001,0.65489412,0.01724782,0.6675391980200001,0.70565094902,11
brazil_by_state_since_1988-12,0.66762888172,0.01325427107844661,0.66307159402,0.64627382,0.01777762,0.65658628202,0.70027628202,12
brazil_by_state_since_1988-13,0.69278978172,0.022182330747377993,0.6890129070200001,0.67026732,0.017690619999999997,0.66790974002,0.7473859900200001,13
brazil_by_state_since_1988-14,0.68532878582,0.0054967754962859045,0.6854827190200001,0.66577662,0.017994620000000003,0.67665482302,0.6944687820200001,14
brazil_by_state_since_1988-15,0.72095533992,0.008661376324009996,0.7189108235200001,0.6983074199999999,0.01917242,0.7137176980200001,0.74345194802,15
china_by_province_with_chinese_taipei_since_1998-5,1.32751589862,0.017201755182266885,1.32311199022,1.30222796,0.021352780000000002,1.31268299072,1.3671276987199998,5
china_by_province_with_chinese_taipei_since_1998-6,1.1263058107200001,0.01558399613243521,1.12439873972,1.1029545599999997,0.019683879999999997,1.10576932372,1.16177582372,6
china_by_province_with_chinese_taipei_since_1998-7,1.1384896818199999,0.0184041166712513,1.1384357407199999,1.0983515599999998,0.03654288000000001,1.10623390672,1.1737829067199999,7
china_by_province_with_chinese_taipei_since_1998-8,1.02427272352,0.02041944605142523,1.01685911522,0.9861556599999999,0.03221488,0.9999790727200001,1.06508490672,8
china_by_province_with_chinese_taipei_since_1998-9,0.98664532752,0.00823248691213083,0.9848533232200001,0.9664889599999998,0.01852128,0.9788747817200001,1.00500161472,9
china_by_province_with_chinese_taipei_since_1998-10,0.86620263172,0.011498977929537088,0.8631652817200001,0.8427256599999998,0.019733980000000005,0.8509941567200001,0.8902738237200001,10
china_by_province_with_chinese_taipei_since_1998-11,0.8621438610200001,0.010979576263568802,0.8598515522200001,0.8385312599999999,0.019561079999999998,0.8500123237200001,0.8847081157200001,11
china_by_province_with_chinese_taipei_since_1998-12,0.7549252609200001,0.01549694219002864,0.7522992822200001,0.73226306,0.019210479999999995,0.7392624067200001,0.7898597817200002,12
china_by_province_with_chinese_taipei_since_1998-13,0.88317892762,0.021673473545310407,0.8736737817200001,0.8582859599999999,0.021373879999999998,0.8677421147200001,0.9334287407200001,13
