base_map, altered_map,frechet distance,hausdorff distance,symmetric difference
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_2.geojson,0.572354,0.278643,0.58779
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_5Fcarto.geojson,0.439095,0.205204,0.332544
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_flow_based.geojson,0.23551,0.189677,0.288577
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_9.geojson,1.65616,0.369428,0.893482
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_5Fcarto.geojson,3.84344,0.608997,0.823399
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_flow_based.geojson,4.97494,1.0452,0.861569
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_4.geojson,0.747133,0.381392,0.818128
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_5Fcarto.geojson,0.663176,0.379621,0.811067
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_flow_based.geojson,0.663319,0.378831,0.811063
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_5.geojson,0.563425,0.342717,0.750791
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_5Fcarto.geojson,0.502911,0.334132,0.700385
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_flow_based.geojson,0.502821,0.333971,0.699927
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_3.geojson,0.485412,0.314075,0.631226
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_5Fcarto.geojson,0.626646,0.352691,0.705834
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_flow_based.geojson,0.626116,0.356241,0.704847
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_9.geojson,1.25575,0.385988,0.592976
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_5Fcarto.geojson,1.03584,0.524004,0.855641
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_flow_based.geojson,0.994243,0.536739,0.808199
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_9.geojson,1.06532,0.309613,0.690867
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_5Fcarto.geojson,0.62776,0.330645,0.622404
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_flow_based.geojson,0.62593,0.325741,0.623165
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_2.geojson,1.01929,0.264671,0.710648
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_5Fcarto.geojson,0.425659,0.281934,0.595797
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_flow_based.geojson,0.426301,0.274124,0.59655
world_population_by_country_2010_input.geojson,world_population_by_country_2010_9.geojson,1.20708,0.384596,0.622137
world_population_by_country_2010_input.geojson,world_population_by_country_2010_5Fcarto.geojson,0.924055,0.483744,0.809167
world_population_by_country_2010_input.geojson,world_population_by_country_2010_flow_based.geojson,0.934717,0.44394,0.804499
